,Manual Fix,Formula Raw,Typos,Invalid count,,
8.	Totally Legit Recap: Rainbow Rocks (Part 1),1,1,,,,
My Little Pony Movie Teaser Trailer #1 - Pony Pad Podcast,1,1,,,,
Wizard Of Oz (Bronalysis Edition) (Part 1 Of 2),1,1,,,,
Checkmates By Xjuggernaughtx,1,1,,,,
[Pmv] Initialize By Daspacepony,1,1,,,,
Pmv (Mlp) - Мы Мечтали О Сцене,1,1,,,,
"Omg, Where Are We Now? [Pony Girl]",1,1,,,,
The River. Mlp In Real Life Music Video,1,1,,,,
This Channel Is Forever Love Songs From Now On,1,1,,,,
Friends Are Family Pmv,1,1,,,,
2.Totally Legit Recap: Rainbow Rocks (Part 1),1,1,,,,
9.	Shystep,1,1,,,,
Sfm Ponies: Pony Tail,1,1,,,,
[Mlp Comic Dub] Goodnight Luna (Uplifting),1,1,,,,
[Wip] Asdf Ponies Vol.2 Intro - More Proof That I Didn'T Get Kidnapped By Somali Pirates,1,1,,,,
April Fools 2017: Blooper Reel [Animatic],1,1,,,,
Twilight Creates A Robot Clone Of Herself,1,1,,,,
Sweetie Bot Passes Butter (Rick And Morty / Mlp),1,1,,,,
"Maud'S Therapy Visit-A Moment With Drwolf	1
Best Friends Until The End Of Time (Cover By Elias Frost)	1
Yapper [Premieregood]	1
The River - Mlp In Real Life Music Video By Stormxf3	1
My Little Pony The Movie Announcement Trailer (2017)| Movieclip Trailer	1
Fact5: Facts About Silverquill	1
Eggcelent Easter	1
1. Something About The Princesses	1
(Cinemagraph) Fantastic Creatures	1
10.",,,,,,No idea what went wrong down here in column A. Only theory is that a vote contained formatting the spreadsheet recognized when copied.
